busid	busname	destination 	
1 	Raida 	Postogola-Jatrabari-Komolapur-Basabo-Khilgaon-Ramp...
2 	Anabil 	Narayangonj-Jatrabari-Basabo-Khilgaon-Rampura-Badd...
3 	Nur-a-Makka 	Khlgaon-Rampura-Badda-Kuril-Mirpur
4 	Salsabil 	Postogola-Jatrabari-Basabo-Khilgaon-Rampura-Badda-...
5 	6 No 	Motijheel-Komolapur-Malibagh-Moghbazar-Kawran Baza...
6 	Shikhor Paribohon 	Jatrabari-motijheel Sapla chattor-Gulistan-Paltan-...
7 	Balaka 	sayedabad-ManikNogor-Komolapur-Malibagh-Moghbazar-...
8 	Falgun 	Azimpur-CityCollege-ScienceLab-Shahbagh-Kakrail-Ma...
9 	Victor Paribahan 	Sadarghat-Gulistan-Paltan-Kakrail-MAlibagh-Rampura...
10 	Great Turag 	Sayedabad-Maniknogor-Komolapur-rampura-Badda-Shahj...
11 	Sadhin 	Farmgate-Kawranbazar-Banglamotor-Moghbazar-Malibag
